BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2
true,173160,173160,173160,173160,true,158660,158660,158660,158660
true,213888,213888,213888,213888,true,121080,121080,121080,121080
true,50701,50701,50701,50701,true,50701,50701,50701,50701
true,96756,96756,96756,96756,true,96756,96756,96756,96756
true,314466,314466,314466,314466,true,261464,261464,261464,261464
true,38779,38779,38779,38779,true,38779,38779,38779,38779
true,106512,106512,106512,106512,true,67288,67288,67288,67288
true,78162,78162,78162,78162,true,78162,78162,78162,78162
true,195237,195237,195237,195237,true,195237,195237,195237,195237
true,308242,308242,308242,308242,true,188166,188166,188166,188166
true,471390,471390,471390,471390,true,325590,325590,325590,325590
true,92064,92064,92064,92064,true,92064,92064,92064,92064
true,104713,104713,104713,104713,true,104713,104713,104713,104713
true,266693,266693,266693,266693,true,266693,266693,266693,266693
true,102888,102888,102888,102888,true,75688,75688,75688,75688
true,201484,201484,201484,201484,true,201484,201484,201484,201484
true,154229,154229,154229,154229,true,151559,151559,151559,151559
true,261738,261738,261738,261738,true,221350,221350,221350,221350
true,158400,158400,158400,158400,true,111254,111254,111254,111254
true,117481,117481,117481,117481,true,91442,91442,91442,91442
true,397256,397256,397256,397256,true,362166,362166,362166,362166
true,73305,73305,73305,73305,true,73305,73305,73305,73305
true,129960,129960,129960,129960,true,74817,74817,74817,74817
true,137000,137000,137000,137000,true,98510,98510,98510,98510
true,285858,285858,285858,285858,true,168750,168750,168750,168750
true,757480,757480,757480,757480,true,465475,465475,465475,465475
true,135069,135069,135069,135069,true,88154,88154,88154,88154
true,131860,131860,131860,131860,true,131860,131860,131860,131860
true,250968,250968,250968,250968,true,237288,237288,237288,237288
true,280800,280800,280800,280800,true,280800,280800,280800,280800
true,282384,282384,282384,282384,true,240672,240672,240672,240672
true,239547,239547,239547,239547,true,201012,201012,201012,201012
true,26325,26325,26325,26325,true,16805,16805,16805,16805
true,58044,58044,58044,58044,true,58044,58044,58044,58044
true,123288,123288,123288,123288,true,123288,123288,123288,123288
true,66585,66585,66585,66585,true,38740,38740,38740,38740
true,222308,222308,222308,222308,true,144440,144440,144440,144440
true,96072,96072,96072,96072,true,96072,96072,96072,96072
true,465080,465080,465080,465080,true,417375,417375,417375,417375
true,76340,76340,76340,76340,true,70382,70382,70382,70382
true,72184,72184,72184,72184,true,64246,64246,64246,64246
true,97468,97468,97468,97468,true,97468,97468,97468,97468
true,152592,152592,152592,152592,true,97812,97812,97812,97812
true,396816,396816,396816,396816,true,396816,396816,396816,396816
true,70308,70308,70308,70308,true,70308,70308,70308,70308
true,257056,257056,257056,257056,true,232377,232377,232377,232377
true,55140,55140,55140,55140,true,55140,55140,55140,55140
true,170900,170900,170900,170900,true,104724,104724,104724,104724
true,332359,332359,332359,332359,true,311808,311808,311808,311808
true,89440,89440,89440,89440,true,65168,65168,65168,65168
true,99228,99228,99228,99228,true,67968,67968,67968,67968
true,248472,248472,248472,248472,true,175656,175656,175656,175656
true,154050,154050,154050,154050,true,154050,154050,154050,154050
true,61938,61938,61938,61938,true,42336,42336,42336,42336
true,136884,136884,136884,136884,true,91284,91284,91284,91284
true,37830,37830,37830,37830,true,27195,27195,27195,27195
true,142982,142982,142982,142982,true,109102,109102,109102,109102
